ecosystem	name	version	scope	licence
go/judge-go	github.com/cespare/xxhash/v2	v2.3.0	indirect	UNKNOWN
go/judge-go	github.com/dustin/go-humanize	v1.0.1	indirect	UNKNOWN
go/judge-go	github.com/google/uuid	v1.6.0	indirect	UNKNOWN
go/judge-go	github.com/klauspost/compress	v1.19.2	indirect	UNKNOWN
go/judge-go	github.com/klauspost/cpuid/v2	v2.4.0	indirect	UNKNOWN
go/judge-go	github.com/klauspost/crc32	v1.3.0	indirect	UNKNOWN
go/judge-go	github.com/minio/crc64nvme	v1.1.1	indirect	UNKNOWN
go/judge-go	github.com/minio/md5-simd	v1.1.2	indirect	UNKNOWN
go/judge-go	github.com/minio/minio-go/v7	v7.3.0	direct	UNKNOWN
go/judge-go	github.com/philhofer/fwd	v1.2.0	indirect	UNKNOWN
go/judge-go	github.com/redis/go-redis/v9	v9.22.0	direct	UNKNOWN
go/judge-go	github.com/rs/xid	v1.6.0	indirect	UNKNOWN
go/judge-go	github.com/tinylib/msgp	v1.6.4	indirect	UNKNOWN
go/judge-go	github.com/zeebo/xxh3	v1.1.0	indirect	UNKNOWN
go/judge-go	go.uber.org/atomic	v1.11.0	indirect	UNKNOWN
go/judge-go	go.yaml.in/yaml/v3	v3.0.5	indirect	UNKNOWN
go/judge-go	golang.org/x/crypto	v0.55.0	indirect	UNKNOWN
go/judge-go	golang.org/x/net	v0.58.0	indirect	UNKNOWN
go/judge-go	golang.org/x/sys	v0.47.0	indirect	UNKNOWN
go/judge-go	golang.org/x/text	v0.41.0	indirect	UNKNOWN
go/judge-go	gopkg.in/ini.v1	v1.67.3	indirect	UNKNOWN
node/e2e	@playwright/test	1.63.0	dev	Apache-2.0
node/e2e	playwright	1.63.0	dev	Apache-2.0
node/e2e	playwright-core	1.63.0	dev	Apache-2.0
node/web	@alloc/quick-lru	5.3.0	dev	MIT
node/web	@babel/code-frame	7.29.7	dev	MIT
node/web	@babel/compat-data	7.29.7	dev	MIT
node/web	@babel/core	7.29.7	dev	MIT
node/web	@babel/generator	7.29.8	dev	MIT
node/web	@babel/helper-compilation-targets	7.29.7	dev	MIT
node/web	@babel/helper-globals	7.29.7	dev	MIT
node/web	@babel/helper-module-imports	7.29.7	dev	MIT
node/web	@babel/helper-module-transforms	7.29.7	dev	MIT
node/web	@babel/helper-string-parser	7.29.7	dev	MIT
node/web	@babel/helper-validator-identifier	7.29.7	dev	MIT
node/web	@babel/helper-validator-option	7.29.7	dev	MIT
node/web	@babel/helpers	7.29.7	dev	MIT
node/web	@babel/parser	7.29.8	dev	MIT
node/web	@babel/template	7.29.7	dev	MIT
node/web	@babel/traverse	7.29.8	dev	MIT
node/web	@babel/types	7.29.8	dev	MIT
node/web	@cacheable/memory	2.2.0	dev	MIT
node/web	@cacheable/utils	2.5.0	dev	MIT
node/web	@emnapi/runtime	1.11.3	runtime	MIT
node/web	@eslint-community/eslint-utils	4.10.1	dev	MIT
node/web	@eslint-community/eslint-utils	4.9.1	dev	MIT
node/web	@eslint-community/regexpp	4.12.2	dev	MIT
node/web	@eslint/config-array	0.23.5	dev	Apache-2.0
node/web	@eslint/config-helpers	0.7.0	dev	Apache-2.0
node/web	@eslint/core	1.2.1	dev	Apache-2.0
node/web	@eslint/object-schema	3.0.5	dev	Apache-2.0
node/web	@eslint/plugin-kit	0.7.3	dev	Apache-2.0
node/web	@floating-ui/core	1.8.0	runtime	MIT
node/web	@floating-ui/dom	1.8.0	runtime	MIT
node/web	@floating-ui/react	0.26.28	runtime	MIT
node/web	@floating-ui/react-dom	2.1.9	runtime	MIT
node/web	@floating-ui/utils	0.2.12	runtime	MIT
node/web	@headlessui/react	2.2.10	runtime	MIT
node/web	@humanfs/core	0.19.2	dev	Apache-2.0
node/web	@humanfs/node	0.16.8	dev	Apache-2.0
node/web	@humanfs/types	0.15.0	dev	Apache-2.0
node/web	@humanwhocodes/module-importer	1.0.1	dev	Apache-2.0
node/web	@humanwhocodes/retry	0.4.3	dev	Apache-2.0
node/web	@img/colour	1.1.0	runtime	MIT
node/web	@img/sharp-wasm32	0.35.4	runtime	Apache-2.0 AND LGPL-3.0-or-later AND MIT
node/web	@img/sharp-win32-x64	0.35.4	runtime	Apache-2.0 AND LGPL-3.0-or-later
node/web	@internationalized/date	3.12.4	runtime	Apache-2.0
node/web	@internationalized/number	3.6.8	runtime	Apache-2.0
node/web	@internationalized/string	3.2.10	runtime	Apache-2.0
node/web	@jridgewell/gen-mapping	0.3.13	dev	MIT
node/web	@jridgewell/remapping	2.3.5	dev	MIT
node/web	@jridgewell/resolve-uri	3.1.2	dev	MIT
node/web	@jridgewell/sourcemap-codec	1.6.0	dev	MIT
node/web	@jridgewell/trace-mapping	0.3.31	dev	MIT
node/web	@keyv/bigmap	1.3.1	dev	MIT
node/web	@keyv/serialize	1.1.1	dev	MIT
node/web	@monaco-editor/loader	1.7.0	runtime	MIT
node/web	@monaco-editor/react	4.7.0	runtime	MIT
node/web	@next/env	16.3.5	runtime	MIT
node/web	@next/eslint-plugin-next	16.3.5	dev	MIT
node/web	@next/swc-win32-x64-msvc	16.3.5	runtime	MIT
node/web	@nodelib/fs.scandir	2.1.5	dev	MIT
node/web	@nodelib/fs.stat	2.0.5	dev	MIT
node/web	@nodelib/fs.walk	1.2.8	dev	MIT
node/web	@nolyfill/is-core-module	1.0.39	dev	MIT
node/web	@oxc-project/types	0.151.0	dev	MIT
node/web	@rankwant/shared	?	runtime	UNKNOWN
node/web	@react-aria/focus	3.22.1	runtime	Apache-2.0
node/web	@react-aria/interactions	3.28.1	runtime	Apache-2.0
node/web	@react-types/shared	3.36.1	runtime	Apache-2.0
node/web	@redocly/ajv	8.11.2	dev	MIT
node/web	@redocly/config	0.22.0	dev	MIT
node/web	@redocly/openapi-core	1.34.20	dev	MIT
